Federal subject name;Federal subject code;Total expenditure;Federal budget;Federal subject budget;Local authority budgets;Retirement fund budget of Russia;Federal fund budget of compulsory medical insurance;Social insurance fund budget of Russia;Territorial government non-budgetary fund budget;Budget level is unknown
Самарская область;63;100 935 849 409;7 057 723 511;52 698 012 571;27 515 568 220;210 282 479;116 548 560;337 182 672;22 402 888;12 978 128 508
Санкт-Петербург;78;382 800 360 661;45 589 816 608;232 972 606 996;6 539 706 532;225 199 919;19 734 387;2 132 905 740;24 956 500;95 295 433 979
Саратовская область;64;31 206 095 458;4 207 402 272;11 611 177 206;7 450 019 945;108 952 953;78 074 785;98 049 559;29 507 811;7 622 910 927
Сахалинская область;65;62 951 812 643;2 675 125 356;19 134 132 586;37 624 782 022;84 777 047;11 554 936;145 728 931;4 338 235;3 271 373 530
Свердловская область;66;109 446 190 705;22 933 403 856;39 421 289 084;33 458 473 364;361 543 218;444 652 238;1 165 337 183;40 205 418;11 621 286 344
Севастополь;92;2 910 718 014;1 429 674 057;1 104 602 939;;41 926 960;7 174 441;57 754 584;385 000;269 200 033
Смоленская область;67;15 881 698 334;2 172 391 790;6 519 603 686;4 179 659 496;53 744 985;11 613 432;280 628 584;4 255 277;2 659 801 084
Ставропольский край;26;52 575 606 421;14 313 848 536;17 963 612 270;9 707 175 413;151 150 702;57 502 204;599 333 694;17 935 150;9 765 048 452
Тамбовская область;68;25 187 431 333;9 260 619 013;5 571 379 845;5 828 609 349;35 555 651;2 317 181;28 974 568;7 737 844;4 452 237 882
Тверская область;69;22 241 608 612;2 814 058 216;5 756 094 469;7 603 328 755;95 401 621;9 109 696;318 294 186;8 778 190;5 636 543 479
Томская область;70;26 737 955 726;3 804 800 553;7 426 110 549;10 348 071 622;45 766 068;2 095 159;400 777 574;7 018 199;4 703 316 002
Тульская область;71;28 408 104 453;2 549 350 268;12 109 287 084;10 752 930 395;284 314 248;12 136 500;395 217 667;9 352 740;2 295 515 551
Тюменская область;72;39 124 326 322;4 709 028 456;17 326 168 240;11 128 650 588;87 318 000;27 876 522;120 283 021;40 292 802;5 684 708 693
Удмуртская Республика;18;28 181 214 186;2 092 035 170;10 925 324 198;8 091 956 020;144 444 831;122 277 613;103 184 354;74 790 990;6 627 201 010
Ульяновская область;73;23 480 945 140;3 429 453 662;9 580 306 662;5 690 235 784;41 756 677;13 009 386;115 715 651;10 556 628;4 599 910 690
Хабаровский край;27;64 084 249 784;34 568 595 563;15 028 701 787;7 202 532 639;96 838 344;2 870 623;424 154 888;29 718 053;6 730 837 887
Ханты-Мансийский автономный округ — Югра;86;80 171 045 473;2 675 185 956;34 268 238 608;38 439 061 051;135 278 533;352 522 029;366 655 781;57 958 141;3 876 145 374
Челябинская область;74;70 096 005 422;12 113 539 183;24 658 102 119;19 026 281 424;174 132 939;18 579 336;382 313 464;25 333 357;13 697 723 600
Чеченская Республика;20;30 618 020 098;2 943 631 757;21 408 579 759;2 450 648 389;565 185 787;66 257 050;259 040 455;988 130;2 923 688 771
Чувашская Республика;21;29 108 594 836;8 227 310 443;7 012 239 422;9 276 619 264;44 842 594;3 010 068;374 214 437;6 777 693;4 163 580 915
Чукотский автономный округ;87;7 925 386 172;618 127 952;4 765 806 903;2 291 499 269;26 142 168;978 535;48 863 485;661 278;173 306 582
Ямало-Ненецкий автономный округ;89;39 785 510 942;1 511 011 448;16 171 072 407;18 649 790 115;160 978 922;17 601 775;137 178 510;16 133 515;3 121 744 250
Ярославская область;76;24 974 144 785;2 169 480 422;8 999 497 123;8 674 647 442;83 632 571;26 084 090;305 278 175;1 938 884;4 713 586 078
